"throughfall.mm" "gross.prec.mm" "obs.date" "period" "funnel.id" "funnel.X.m" "funnel.Y.m" "canopy" "abs.distance" "rel.distance" "tree.id" "tree.X.m" "tree.Y.m" "species" "tree.height.m" "tree.dbh.cm" "crown.radius.m" "crown.beginning.m"
"221" 3 8 "2006-08-23" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"222" 2.8 7.45 "2006-06-20" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"223" 9 23.5 "2006-05-28" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"224" 1.6 3.66 "2006-06-04" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"225" 2.4 5.35 "2006-05-22" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"226" 8.5 17.4 "2006-08-30" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"227" 6 10.6 "2006-07-09" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"228" 8 11 "2006-05-30" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"229" 6.3 8.62 "2006-05-17" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"230" 37 49 "2006-08-06" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"231" 14 17.3 "2006-08-07" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"232" 13 15.3 "2006-06-21" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"31" 0 1.2 "2006-07-23" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"32" 0 0.8 "2006-08-25" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"33" 0.1 2.02 "2006-08-01" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"34" 0.1 1 "2006-05-23" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"35" 0.2 2 "2006-05-31" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"36" 0.2 1.66 "2006-07-30" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"37" 0.2 1.64 "2006-07-21" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"38" 0.8 5 "2006-08-28" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"39" 0.6 2.8 "2006-05-19" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"310" 0.5 2.2 "2006-08-04" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"311" 1 3.8 "2006-06-01" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"312" 0.4 1.5 "2006-08-21" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"313" 1.4 3.66 "2006-06-04" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"314" 2.4 5.35 "2006-05-22" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"315" 3.6 8 "2006-08-23" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"316" 3.4 7.45 "2006-06-20" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"317" 8 17.4 "2006-08-30" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"318" 11 23.5 "2006-05-28" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"319" 1.1 2.3 "2006-07-24" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"320" 2 3.8 "2006-07-08" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"321" 5 8.62 "2006-05-17" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"322" 6.75 10.6 "2006-07-09" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"323" 12 17.3 "2006-08-07" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"324" 35 49 "2006-08-06" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"325" 8.3 11 "2006-05-30" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"326" 14 15.3 "2006-06-21" "leafed" 103 37.2799577595876 34.1990636143699 "spruce" 2.5865 0.752655317910665 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"41" 0 1 "2006-05-23" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"42" 0 0.8 "2006-08-25" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"43" 0.02 1.2 "2006-07-23" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"44" 0.1 2 "2006-05-31" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"45" 0.2 2.02 "2006-08-01" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"46" 0.4 2.8 "2006-05-19" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"47" 0.3 1.66 "2006-07-30" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"48" 0.3 1.64 "2006-07-21" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"49" 0.8 3.8 "2006-06-01" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"410" 0.8 3.66 "2006-06-04" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"411" 1.2 5 "2006-08-28" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"412" 0.6 2.2 "2006-08-04" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"413" 0.5 1.5 "2006-08-21" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"414" 2 5.35 "2006-05-22" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"415" 3 8 "2006-08-23" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"416" 3.4 8.62 "2006-05-17" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"417" 7 17.4 "2006-08-30" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"418" 12 23.5 "2006-05-28" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"419" 2 3.8 "2006-07-08" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"420" 4.2 7.45 "2006-06-20" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"421" 1.4 2.3 "2006-07-24" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"422" 11 17.3 "2006-08-07" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"423" 7 10.6 "2006-07-09" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"424" 7.5 11 "2006-05-30" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"425" 12 15.3 "2006-06-21" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"426" 39 49 "2006-08-06" "leafed" 104 36.735955651914 34.6395879688008 "spruce" 3.2865 0.956350938454823 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"51" 0 1 "2006-05-23" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"52" 0 2 "2006-05-31" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"53" 0 1.2 "2006-07-23" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"54" 0 0.8 "2006-08-25" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"55" 0.02 1.66 "2006-07-30" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"56" 0.3 2.02 "2006-08-01" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"57" 0.6 3.8 "2006-06-01" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"58" 0.8 5 "2006-08-28" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"59" 0.6 3.66 "2006-06-04" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"510" 0.4 2.2 "2006-08-04" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"511" 0.3 1.64 "2006-07-21" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"512" 1.5 8 "2006-08-23" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"513" 0.6 2.8 "2006-05-19" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
